hesId,status,fullnessPercent,sourceClass,source,provider,method,observedAt,sourcePublishedAt,fetchedAt,freshnessDays,freshnessLabel,confidence,isEstimated,storageType,epiasMatch,dsiMatch,dahitiMatch,hydrowebMatch,copernicusMatch,swotMatch,gRealmMatch,gdwMatch,candidateSourceCount,bestCatalogSource,bestCatalogSourceUrl,bestCatalogDistanceKm,catalogConfidence,fullnessDirectlyAvailable,fullnessCanBeCalculated,reasonUnavailable
hes177-107,stale,96.87772544915401,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,True,1,,,,,False,True,
hes177-108,stale,83.0330330330329,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,False,0,,,,,False,True,
hes177-109,stale,69.79850182916206,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,True,1,,,,,False,True,
hes177-110,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,storage,False,False,False,False,False,False,False,True,1,,,,,False,False,Doluluk hesabı için hacim verisi eksik
hes177-111,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-114,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-115,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-117,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-119,stale,61.65429480381761,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,True,1,,,,,False,True,
hes177-120,stale,72.50211685012702,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,False,0,,,,,False,True,
hes177-121,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,storage,False,False,False,False,False,False,False,True,1,,,,,False,False,Doluluk hesabı için hacim verisi eksik
hes177-122,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,storage,False,False,False,False,False,False,False,True,1,,,,,False,False,Doluluk hesabı için hacim verisi eksik
hes177-123,stale,64.6417152529622,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,True,1,,,,,False,True,
hes177-124,stale,81.16778523489933,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,True,1,,,,,False,True,
hes177-126,stale,60.68752754517409,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,False,0,,,,,False,True,
hes177-127,stale,80.02776620852424,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,True,1,,,,,False,True,
hes177-129,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
