topic,folder,source_pptx,source_media,output_file,width,height,format,processing
Gökçekaya Pompaj Depolama Bataryası,gokcekaya_pompaj_depolama_bataryasi,Gökçekaya_Pumped_Storage_Battery.pptx,ppt/media/image6.png,gokcekaya_pompaj_depolama_bataryasi/gokcekaya_pompaj_depolama_bataryasi_06.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Gökçekaya Pompaj Depolama Bataryası,gokcekaya_pompaj_depolama_bataryasi,Gökçekaya_Pumped_Storage_Battery.pptx,ppt/media/image7.png,gokcekaya_pompaj_depolama_bataryasi/gokcekaya_pompaj_depolama_bataryasi_07.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Gökçekaya Pompaj Depolama Bataryası,gokcekaya_pompaj_depolama_bataryasi,Gökçekaya_Pumped_Storage_Battery.pptx,ppt/media/image8.png,gokcekaya_pompaj_depolama_bataryasi/gokcekaya_pompaj_depolama_bataryasi_08.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Gökçekaya Pompaj Depolama Bataryası,gokcekaya_pompaj_depolama_bataryasi,Gökçekaya_Pumped_Storage_Battery.pptx,ppt/media/image9.png,gokcekaya_pompaj_depolama_bataryasi/gokcekaya_pompaj_depolama_bataryasi_09.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Gökçekaya Pompaj Depolama Bataryası,gokcekaya_pompaj_depolama_bataryasi,Gökçekaya_Pumped_Storage_Battery.pptx,ppt/media/image10.png,gokcekaya_pompaj_depolama_bataryasi/gokcekaya_pompaj_depolama_bataryasi_10.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Gökçekaya Pompaj Depolama Bataryası,gokcekaya_pompaj_depolama_bataryasi,Gökçekaya_Pumped_Storage_Battery.pptx,ppt/media/image11.png,gokcekaya_pompaj_depolama_bataryasi/gokcekaya_pompaj_depolama_bataryasi_11.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Gökçekaya Pompaj Depolama Bataryası,gokcekaya_pompaj_depolama_bataryasi,Gökçekaya_Pumped_Storage_Battery.pptx,ppt/media/image12.png,gokcekaya_pompaj_depolama_bataryasi/gokcekaya_pompaj_depolama_bataryasi_12.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Gökçekaya Pompaj Depolama Bataryası,gokcekaya_pompaj_depolama_bataryasi,Gökçekaya_Pumped_Storage_Battery.pptx,ppt/media/image13.png,gokcekaya_pompaj_depolama_bataryasi/gokcekaya_pompaj_depolama_bataryasi_13.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Dirençli Şebeke Mimarisi,direncli_sebeke_mimarisi,Resilient_Grid_Architecture_(3).pptx,ppt/media/image1.png,direncli_sebeke_mimarisi/direncli_sebeke_mimarisi_01.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Dirençli Şebeke Mimarisi,direncli_sebeke_mimarisi,Resilient_Grid_Architecture_(3).pptx,ppt/media/image2.png,direncli_sebeke_mimarisi/direncli_sebeke_mimarisi_02.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Dirençli Şebeke Mimarisi,direncli_sebeke_mimarisi,Resilient_Grid_Architecture_(3).pptx,ppt/media/image3.png,direncli_sebeke_mimarisi/direncli_sebeke_mimarisi_03.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Dirençli Şebeke Mimarisi,direncli_sebeke_mimarisi,Resilient_Grid_Architecture_(3).pptx,ppt/media/image4.png,direncli_sebeke_mimarisi/direncli_sebeke_mimarisi_04.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Dirençli Şebeke Mimarisi,direncli_sebeke_mimarisi,Resilient_Grid_Architecture_(3).pptx,ppt/media/image5.png,direncli_sebeke_mimarisi/direncli_sebeke_mimarisi_05.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Dirençli Şebeke Mimarisi,direncli_sebeke_mimarisi,Resilient_Grid_Architecture_(3).pptx,ppt/media/image6.png,direncli_sebeke_mimarisi/direncli_sebeke_mimarisi_06.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Dirençli Şebeke Mimarisi,direncli_sebeke_mimarisi,Resilient_Grid_Architecture_(3).pptx,ppt/media/image7.png,direncli_sebeke_mimarisi/direncli_sebeke_mimarisi_07.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
